id,name,subject,grade,marks,spec
1,Mary,Arts,A+,100,major
2,Carlos,History,A,98,major
3,John,Physics,A,98,major
4,David,Biology,A+,100,major
5,David,Physics,C,44,minor
6,Amit,History,C,44,major
7,Mary,Biology,C,44,minor
8,John,Biology,C,44,minor
9,Mary,Biology,A+,100,minor
10,David,History,C,44,minor
11,David,Physics,A,98,minor
12,Carlos,Mathematics,A+,100,major
13,Chris,Biology,B,65,minor
14,John,History,B,65,minor
15,Amit,Mathematics,A+,100,major
16,Chris,Biology,A,98,major
17,Amit,History,C,44,minor
18,David,Physics,B,65,minor
19,Amit,Biology,B,65,minor
20,David,Mathematics,A,98,minor
21,Chris,Mathematics,A+,100,major
22,David,Biology,A,98,major
23,Amit,History,C,44,major
24,Mary,Arts,A+,100,minor
25,David,Arts,A+,100,minor
26,Chris,Mathematics,A+,100,major
27,Carlos,Physics,C,44,major
28,Subir,History,A,98,major
29,Amit,Physics,B,65,major
30,Chris,Arts,B,65,minor
31,David,Mathematics,A,98,minor
32,David,Physics,C,44,minor
33,Mary,Mathematics,A,98,major
34,Subir,Physics,C,44,major
35,Chris,History,A,98,major
36,Subir,Biology,A,98,minor
37,Chris,Mathematics,A+,100,major
38,Carlos,Arts,A+,100,major
39,David,Mathematics,C,44,major
40,Amit,Arts,A,98,major
41,David,Arts,C,44,major
42,Chris,Mathematics,A,98,minor
43,Chris,Physics,C,44,minor
44,David,Physics,A+,100,major
45,Mary,Mathematics,A+,100,major
46,David,History,C,44,minor
47,Chris,History,B,65,major
48,Subir,History,A,98,minor
49,John,Biology,B,65,minor
50,Amit,Biology,B,65,minor
51,David,Biology,A,98,major
52,Subir,History,B,65,major
53,Mary,Physics,B,65,major
54,Subir,Physics,A+,100,minor
55,John,Biology,C,44,major
56,David,Arts,A+,100,minor
57,Amit,Biology,B,65,major
58,Mary,Physics,A+,100,major
59,Mary,History,C,44,major
60,Mary,Mathematics,C,44,minor
61,Mary,Physics,C,44,major
62,John,Physics,B,65,minor
63,Subir,Physics,B,65,major
64,Mary,History,B,65,minor
65,Amit,Arts,C,44,major
66,Carlos,History,C,44,major
67,Amit,Arts,C,44,major
68,Chris,Biology,A+,100,major
69,Chris,Mathematics,A,98,major
70,John,Mathematics,A,98,minor
71,Amit,Arts,A,98,minor
72,Carlos,Mathematics,A,98,major
73,Subir,Biology,A+,100,major
74,John,Biology,C,44,minor
75,Mary,Physics,B,65,minor
76,Carlos,Mathematics,A+,100,minor
77,Carlos,Arts,A+,100,major
78,Carlos,History,C,44,minor
79,Chris,History,A+,100,minor
80,Subir,Biology,A,98,major
81,Amit,Biology,A+,100,major
82,Subir,Physics,B,65,major
83,John,Physics,A,98,minor
84,Amit,Mathematics,A+,100,major
85,John,Physics,A,98,minor
86,John,Biology,C,44,major
87,John,Biology,A+,100,minor
88,John,History,A+,100,major
89,Carlos,Mathematics,C,44,minor
90,Mary,History,B,65,minor
91,Mary,Mathematics,A+,100,minor
92,Chris,Physics,A+,100,minor
93,Subir,Arts,A+,100,major
94,Chris,Biology,C,44,minor
95,Chris,Biology,A,98,minor
96,Chris,Physics,C,44,major
97,Chris,Biology,A+,100,minor
98,Subir,History,B,65,minor
99,John,Mathematics,A,98,minor
100,Chris,Biology,A,98,major
101,David,Physics,B,65,minor
102,Amit,Biology,B,65,minor
103,Carlos,History,C,44,major
104,Carlos,Arts,A+,100,major
105,Chris,Mathematics,C,44,major
106,John,Arts,A+,100,major
107,Amit,Biology,A+,100,minor
108,Amit,Physics,A+,100,minor
109,John,Mathematics,A,98,major
110,Chris,Mathematics,B,65,minor
111,Carlos,Mathematics,C,44,major
112,Amit,Arts,C,44,major
113,Chris,Mathematics,B,65,minor
114,David,History,A+,100,major
115,Chris,Arts,A,98,major
116,David,Arts,A,98,major
117,David,History,A+,100,minor
118,Carlos,Arts,A,98,minor
119,Carlos,Mathematics,A,98,major
120,Amit,Physics,C,44,minor
121,Subir,Arts,C,44,minor
122,Mary,Physics,B,65,minor
123,Subir,Mathematics,A,98,major
124,Amit,Biology,B,65,major
125,Chris,History,B,65,major
126,Mary,Biology,A,98,major
127,Amit,Mathematics,A+,100,major
128,David,Arts,C,44,major
129,Chris,Biology,B,65,minor
130,Subir,History,A,98,minor
131,Amit,History,C,44,minor
132,Amit,Physics,A+,100,minor
133,Subir,History,A+,100,major
134,Carlos,Arts,A+,100,major
135,Chris,History,A+,100,minor
136,Carlos,Arts,C,44,minor
137,Carlos,Physics,B,65,minor
138,David,Biology,C,44,minor
139,Carlos,History,B,65,major
140,Subir,History,C,44,minor
141,Carlos,History,A,98,minor
142,Subir,History,A,98,major
143,Amit,Physics,A,98,major
144,Subir,Arts,A,98,minor
145,Chris,Biology,B,65,major
146,Carlos,Biology,A,98,major
147,Amit,Physics,A+,100,major
148,Subir,History,A+,100,minor
149,Amit,Mathematics,C,44,minor
150,Mary,Arts,A+,100,major
151,Amit,Biology,A,98,major
152,Mary,Biology,A+,100,major
153,Mary,Mathematics,C,44,major
154,Chris,Mathematics,A,98,major
155,Subir,Biology,A+,100,minor
156,Amit,Physics,B,65,minor
157,Subir,Mathematics,A,98,minor
158,Subir,Physics,B,65,major
159,David,Biology,A,98,minor
160,Chris,Arts,A+,100,major
161,Subir,Biology,C,44,major
