"Id","Name","Subject","Marks","Specs"
1,"Mary","Arts",100,"major"
2,"Carlos","History",98,"major"
3,"John","Physics",98,"major"
4,"David","Biology",100,"major"
5,"David","Physics",44,"minor"
6,"Amit","History",44,"major"
7,"Mary","Biology",44,"minor"
8,"John","Biology",44,"minor"
9,"Mary","Biology",100,"minor"
10,"David","History",44,"minor"
11,"David","Physics",98,"minor"
12,"Carlos","Mathematics",100,"major"
13,"Chris","Biology",65,"minor"
14,"John","History",65,"minor"
15,"Amit","Mathematics",100,"major"
16,"Chris","Biology",98,"major"
17,"Amit","History",44,"minor"
18,"David","Physics",65,"minor"
19,"Amit","Biology",65,"minor"
20,"David","Mathematics",98,"minor"
21,"Chris","Mathematics",100,"major"
22,"David","Biology",98,"major"
23,"Amit","History",44,"major"
24,"Mary","Arts",100,"minor"
25,"David","Arts",100,"minor"
26,"Chris","Mathematics",100,"major"
27,"Carlos","Physics",44,"major"
28,"Subir","History",98,"major"
29,"Amit","Physics",65,"major"
30,"Chris","Arts",65,"minor"
31,"David","Mathematics",98,"minor"
32,"David","Physics",44,"minor"
33,"Mary","Mathematics",98,"major"
34,"Subir","Physics",44,"major"
35,"Chris","History",98,"major"
36,"Subir","Biology",98,"minor"
37,"Chris","Mathematics",100,"major"
38,"Carlos","Arts",100,"major"
39,"David","Mathematics",44,"major"
40,"Amit","Arts",98,"major"
41,"David","Arts",44,"major"
42,"Chris","Mathematics",98,"minor"
43,"Chris","Physics",44,"minor"
44,"David","Physics",100,"major"
45,"Mary","Mathematics",100,"major"
46,"David","History",44,"minor"
47,"Chris","History",65,"major"
48,"Subir","History",98,"minor"
49,"John","Biology",65,"minor"
50,"Amit","Biology",65,"minor"
51,"David","Biology",98,"major"
52,"Subir","History",65,"major"
53,"Mary","Physics",65,"major"
54,"Subir","Physics",100,"minor"
55,"John","Biology",44,"major"
56,"David","Arts",100,"minor"
57,"Amit","Biology",65,"major"
58,"Mary","Physics",100,"major"
59,"Mary","History",44,"major"
60,"Mary","Mathematics",44,"minor"
61,"Mary","Physics",44,"major"
62,"John","Physics",65,"minor"
63,"Subir","Physics",65,"major"
64,"Mary","History",65,"minor"
65,"Amit","Arts",44,"major"
66,"Carlos","History",44,"major"
67,"Amit","Arts",44,"major"
68,"Chris","Biology",100,"major"
69,"Chris","Mathematics",98,"major"
70,"John","Mathematics",98,"minor"
71,"Amit","Arts",98,"minor"
72,"Carlos","Mathematics",98,"major"
73,"Subir","Biology",100,"major"
74,"John","Biology",44,"minor"
75,"Mary","Physics",65,"minor"
76,"Carlos","Mathematics",100,"minor"
77,"Carlos","Arts",100,"major"
78,"Carlos","History",44,"minor"
79,"Chris","History",100,"minor"
80,"Subir","Biology",98,"major"
81,"Amit","Biology",100,"major"
82,"Subir","Physics",65,"major"
83,"John","Physics",98,"minor"
84,"Amit","Mathematics",100,"major"
85,"John","Physics",98,"minor"
86,"John","Biology",44,"major"
87,"John","Biology",100,"minor"
88,"John","History",100,"major"
89,"Carlos","Mathematics",44,"minor"
90,"Mary","History",65,"minor"
91,"Mary","Mathematics",100,"minor"
92,"Chris","Physics",100,"minor"
93,"Subir","Arts",100,"major"
94,"Chris","Biology",44,"minor"
95,"Chris","Biology",98,"minor"
96,"Chris","Physics",44,"major"
97,"Chris","Biology",100,"minor"
98,"Subir","History",65,"minor"
99,"John","Mathematics",98,"minor"
100,"Chris","Biology",98,"major"
101,"David","Physics",65,"minor"
102,"Amit","Biology",65,"minor"
103,"Carlos","History",44,"major"
104,"Carlos","Arts",100,"major"
105,"Chris","Mathematics",44,"major"
106,"John","Arts",100,"major"
107,"Amit","Biology",100,"minor"
108,"Amit","Physics",100,"minor"
109,"John","Mathematics",98,"major"
110,"Chris","Mathematics",65,"minor"
111,"Carlos","Mathematics",44,"major"
112,"Amit","Arts",44,"major"
113,"Chris","Mathematics",65,"minor"
114,"David","History",100,"major"
115,"Chris","Arts",98,"major"
116,"David","Arts",98,"major"
117,"David","History",100,"minor"
118,"Carlos","Arts",98,"minor"
119,"Carlos","Mathematics",98,"major"
120,"Amit","Physics",44,"minor"
121,"Subir","Arts",44,"minor"
122,"Mary","Physics",65,"minor"
123,"Subir","Mathematics",98,"major"
124,"Amit","Biology",65,"major"
125,"Chris","History",65,"major"
126,"Mary","Biology",98,"major"
127,"Amit","Mathematics",100,"major"
128,"David","Arts",44,"major"
129,"Chris","Biology",65,"minor"
130,"Subir","History",98,"minor"
131,"Amit","History",44,"minor"
132,"Amit","Physics",100,"minor"
133,"Subir","History",100,"major"
134,"Carlos","Arts",100,"major"
135,"Chris","History",100,"minor"
136,"Carlos","Arts",44,"minor"
137,"Carlos","Physics",65,"minor"
138,"David","Biology",44,"minor"
139,"Carlos","History",65,"major"
140,"Subir","History",44,"minor"
141,"Carlos","History",98,"minor"
142,"Subir","History",98,"major"
143,"Amit","Physics",98,"major"
144,"Subir","Arts",98,"minor"
145,"Chris","Biology",65,"major"
146,"Carlos","Biology",98,"major"
147,"Amit","Physics",100,"major"
148,"Subir","History",100,"minor"
149,"Amit","Mathematics",44,"minor"
150,"Mary","Arts",100,"major"
151,"Amit","Biology",98,"major"
152,"Mary","Biology",100,"major"
153,"Mary","Mathematics",44,"major"
154,"Chris","Mathematics",98,"major"
155,"Subir","Biology",100,"minor"
156,"Amit","Physics",65,"minor"
157,"Subir","Mathematics",98,"minor"
158,"Subir","Physics",65,"major"
159,"David","Biology",98,"minor"
160,"Chris","Arts",100,"major"
161,"Subir","Biology",44,"major"
162,"Chris","History",44,"minor"
163,"Carlos","Physics",44,"minor"
164,"Chris","Biology",44,"major"
165,"Mary","History",100,"minor"
166,"Chris","Mathematics",65,"minor"
167,"Chris","Physics",65,"minor"
168,"David","Biology",44,"major"
169,"David","Mathematics",44,"major"
170,"Carlos","Mathematics",44,"major"
171,"Chris","Arts",98,"major"
172,"David","Mathematics",98,"major"
173,"Subir","Physics",98,"major"
174,"David","Physics",65,"major"
175,"Chris","Mathematics",100,"minor"
176,"Carlos","Arts",65,"minor"
177,"John","History",44,"major"
178,"Amit","Physics",44,"minor"
179,"Amit","Biology",100,"major"
180,"John","History",65,"minor"
181,"Chris","History",65,"minor"
182,"Mary","Physics",98,"major"
183,"John","Mathematics",98,"major"
184,"David","Mathematics",98,"major"
185,"John","History",44,"minor"
186,"Carlos","Arts",98,"major"
187,"David","History",44,"minor"
188,"Amit","Mathematics",44,"minor"
189,"Chris","Mathematics",44,"minor"
190,"Carlos","History",100,"minor"
191,"Amit","Arts",65,"minor"
192,"Carlos","Arts",98,"minor"
193,"David","Mathematics",100,"major"
194,"David","Mathematics",65,"major"
195,"Carlos","Physics",65,"minor"
196,"David","Mathematics",100,"major"
197,"David","Mathematics",98,"major"
198,"David","Mathematics",44,"minor"
199,"Subir","Biology",44,"major"
